Name,Graduate,Longterm,Visiting,Institution,Prize Type,Year Awarded
[PM] Baruch S. Blumberg (Researcher) - 1976,0,0,1,Columbia,,
[PM] Baruj Benacerraf (Researcher) - 1980,0,0,1,Columbia,,
[PM] Daniel Nathans (Intern) - 1978,0,0,1,Columbia,,
[PM] D. Carleton Gajdusek (Postdoctoral Researcher) - 1976,0,0,1,Columbia,,
[PM] E. Donnall Thomas (Affiliate) - 1990,0,0,1,Columbia,,
[PM] Harold E. Varmus[32] (Medical House Officer) - 1989,0,0,1,Columbia,,
[PM] Hermann J. Muller (Teaching Assistant) - 1946,0,0,1,Columbia,,
[PM] Linda B. Buck (Postdoctoral Researcher) - 2004,0,0,1,Columbia,,
[PM] Salvador E. Luria (Research Assistant) - 1969,0,0,1,Columbia,,
[PM] Sune Bergström (Research Fellow) - 1982,0,0,1,Columbia,,
[Ec.] Franco Modigliani (Instructor) - 1985,0,0,1,Columbia,,
[Ec.] Milton Friedman (Researcher) - 1976,0,0,1,Columbia,,
[Ec.] Robert M. Solow (Researcher) - 1987,0,0,1,Columbia,,
[Pe.] Al Gore (Visiting Professor) - 2007,0,0,1,Columbia,,
[Pe.] Elie Wiesel (Visiting Professor) - 1986,0,0,1,Columbia,,
[Pe.] Kofi Annan (Global Fellow) - 2001,0,0,1,Columbia,,
[Pe.] Leymah Gbowee[33] (Distinguished Fellow) - 2011,0,0,1,Columbia,,
[Pe.] Liu Xiaobo (Visiting Scholar) - 2010,0,0,1,Columbia,,
[Li.] Derek Walcott (Visiting Professor) - 1992,0,0,1,Columbia,,
[Li.] Gabriela Mistral (Visiting Professor) - 1945,0,0,1,Columbia,,
[Li.] Joseph Brodsky (Visiting Professor) - 1987,0,0,1,Columbia,,
[Li.] Nadine Gordimer[34] (Adjunct Professor) - 1991,0,0,1,Columbia,,
[Ph.] Brian D. Josephson (Attendee) - 1946,1,0,0,Cornell,,
[Ph.] David J. Thouless (PhD) - 2016,1,0,0,Cornell,,
[Ph.] Douglas D. Osheroff (PhD) - 1996,1,0,0,Cornell,,
[Ph.] Isidor Isaac Rabi (B.S) - 1944,1,0,0,Cornell,,
[Ph.] Sheldon Lee Glashow (B.A) - 1979,1,0,0,Cornell,,
[Ph.] Steven Weinberg (B.A) - 1979,1,0,0,Cornell,,
[Ch.] Eric Betzig (PhD) - 2014,1,0,0,Cornell,,
